open,high,low,close,volume,timestamp,pred_boolean,profit_boolean
368.53,372.55,367.74,371.94,24750.10511,1603241999999.0,0.0,0.0
371.95,372.5,370.12,371.17,16787.36992,1603245599999.0,0.0,0.0
371.14,372.35,370.52,371.48,25555.53064,1603249199999.0,0.0,0.0
371.5,379.28,371.5,377.98,81556.00321,1603252799999.0,0.0,0.0
377.95,381.41,377.47,381.0,47685.33756,1603256399999.0,0.0,0.0
380.98,381.9,378.52,379.9,31301.94872,1603259999999.0,0.0,0.0
379.89,382.42,379.81,379.91,37141.18061,1603263599999.0,0.0,0.0
379.9,380.42,378.05,379.13,33721.96612,1603267199999.0,0.0,0.0
379.13,379.4,377.0,377.05,24598.44508,1603270799999.0,0.0,0.0
377.03,378.96,376.01,378.42,20743.41767,1603274399999.0,0.0,0.0
378.41,380.96,378.03,378.94,26703.69946,1603277999999.0,0.0,0.0
378.95,380.46,376.83,379.37,29498.7702,1603281599999.0,0.0,0.0
379.37,382.38,377.43,381.04,43021.07501,1603285199999.0,0.0,0.0
381.01,385.49,379.9,384.75,70476.31376,1603288799999.0,0.0,0.0
384.78,390.0,383.2,388.6,118990.61404,1603292399999.0,0.0,0.0
388.62,392.0,386.02,391.9,85681.01776,1603295999999.0,0.0,0.0
391.9,399.46,391.89,396.13,146155.22679,1603299599999.0,0.0,0.0
396.13,397.78,394.0,394.79,54470.91512,1603303199999.0,0.0,0.0
394.86,395.84,392.71,394.16,34654.96556,1603306799999.0,0.0,0.0
394.16,394.7,390.75,391.03,42092.40127,1603310399999.0,0.0,0.0
390.99,394.44,390.85,394.35,22113.1249,1603313999999.0,0.0,0.0
394.37,396.69,391.52,395.25,32395.34148,1603317599999.0,0.0,0.0
395.23,401.49,395.0,399.95,66550.31833,1603321199999.0,0.0,0.0
399.96,400.43,388.33,390.38,105018.54952,1603324799999.0,0.0,0.0
390.31,396.47,390.21,395.85,41629.7142,1603328399999.0,0.0,0.0
395.84,397.7,394.27,395.16,25038.11411,1603331999999.0,1.0,-0.005111853426460266
395.16,395.53,391.41,393.14,28188.24225,1603335599999.0,0.0,0.0
393.19,394.47,392.1,392.36,19808.12008,1603339199999.0,0.0,0.0
392.36,394.41,391.6,393.97,22642.82723,1603342799999.0,0.0,0.0
393.96,396.28,392.58,394.78,30469.47669,1603346399999.0,0.0,0.0
394.79,396.51,394.27,395.83,25196.44355,1603349999999.0,0.0,0.0
395.84,395.84,394.02,395.09,21273.47342,1603353599999.0,0.0,0.0
395.08,399.26,394.77,397.83,46103.22743,1603357199999.0,0.0,0.0
397.86,399.0,392.97,397.18,63468.6808,1603360799999.0,1.0,0.028678618189142878
397.16,409.0,396.09,408.55,98130.68977,1603364399999.0,1.0,0.016769076354378236
408.49,415.89,408.45,415.34,105190.97972,1603367999999.0,0.0,0.0
415.34,416.0,407.68,411.47,64697.15434,1603371599999.0,0.0,0.0
411.47,415.77,410.96,412.83,45562.55812,1603375199999.0,1.0,0.003100474760197727
412.84,414.12,410.45,414.12,38455.90278,1603378799999.0,0.0,0.0
414.06,416.88,412.42,414.5,42424.90506,1603382399999.0,0.0,0.0
414.49,417.22,413.2,416.45,54478.8137,1603385999999.0,0.0,0.0
416.45,419.0,413.82,417.44,69959.59013,1603389599999.0,0.0,0.0
417.42,418.33,415.17,417.94,34491.65907,1603393199999.0,0.0,0.0
417.97,419.27,415.45,415.85,42310.58336,1603396799999.0,0.0,0.0
415.85,419.5,415.85,417.43,29407.16715,1603400399999.0,0.0,0.0
417.42,418.75,411.15,417.64,32867.21905,1603403999999.0,0.0,0.0
417.68,420.73,415.0,415.04,68481.40764,1603407599999.0,0.0,0.0
415.1,416.61,411.98,413.98,45620.25702,1603411199999.0,0.0,0.0
413.94,414.07,409.22,412.0,49652.46192,1603414799999.0,0.0,0.0
412.0,413.93,411.15,412.37,22842.3621,1603418399999.0,0.0,0.0
412.38,415.39,411.9,414.25,21207.37635,1603421999999.0,0.0,0.0
414.25,415.72,412.78,413.5,23933.33515,1603425599999.0,0.0,0.0
413.47,414.91,412.13,412.28,20595.37373,1603429199999.0,0.0,0.0
412.24,416.86,411.91,416.73,30162.06766,1603432799999.0,0.0,0.0
416.74,416.8,412.57,413.1,26635.09335,1603436399999.0,1.0,-0.0006293875574922482
413.1,414.36,412.0,412.84,28820.34776,1603439999999.0,0.0,0.0
412.85,415.52,411.54,413.47,33146.013,1603443599999.0,0.0,0.0
413.47,415.25,413.04,414.76,21440.32717,1603447199999.0,0.0,0.0
414.76,418.92,414.76,417.7,46083.00259,1603450799999.0,0.0,0.0
417.7,419.33,415.95,416.84,35906.24558,1603454399999.0,1.0,0.0019912194419788426
416.83,417.99,415.21,417.66,24439.64703,1603457999999.0,1.0,-0.003806833145785026
417.67,418.71,415.6,416.08,28166.99509,1603461599999.0,1.0,-0.006417035185541144
416.08,417.11,413.34,413.41,33628.31449,1603465199999.0,1.0,-0.0034106577005878543
413.41,415.19,410.69,412.0,46734.82818,1603468799999.0,0.0,0.0
412.01,413.4,401.3,405.75,116866.78247,1603472399999.0,0.0,0.0
405.71,407.58,404.21,405.11,28915.47816,1603475999999.0,1.0,0.0051099755609865715
405.09,408.17,404.94,407.16,21926.84498,1603479599999.0,0.0,0.0
407.21,409.22,406.65,409.22,17296.78585,1603483199999.0,0.0,0.0
409.22,410.11,407.88,408.9,17341.60347,1603486799999.0,0.0,0.0
408.86,409.84,407.3,408.45,8270.67522,1603490399999.0,0.0,0.0
408.45,409.65,407.33,408.98,9666.16332,1603493999999.0,0.0,0.0
408.95,409.87,407.71,409.11,14154.19778,1603497599999.0,0.0,0.0
409.19,409.82,407.0,408.06,14425.97965,1603501199999.0,0.0,0.0
408.07,411.66,408.07,411.1,16078.51654,1603504799999.0,0.0,0.0
411.1,413.49,410.4,412.39,15790.1085,1603508399999.0,0.0,0.0
412.39,413.99,411.0,411.62,13916.89971,1603511999999.0,0.0,0.0
411.63,413.23,411.37,411.92,14535.76325,1603515599999.0,0.0,0.0
411.92,412.81,411.27,412.54,9456.91096,1603519199999.0,0.0,0.0
412.55,412.75,411.3,411.74,9534.8986,1603522799999.0,0.0,0.0
411.74,412.43,409.52,410.17,14423.81775,1603526399999.0,0.0,0.0
410.16,411.2,408.0,409.34,21400.58759,1603529999999.0,0.0,0.0
409.33,411.72,407.8,410.91,13896.37802,1603533599999.0,0.0,0.0
410.92,413.25,409.82,413.01,18877.04714,1603537199999.0,0.0,0.0
413.01,414.42,411.76,414.22,16173.85986,1603540799999.0,0.0,0.0
414.24,414.87,412.39,412.68,15601.14432,1603544399999.0,0.0,0.0
412.68,414.5,412.32,413.5,12622.29338,1603547999999.0,0.0,0.0
413.47,416.0,410.7,414.83,51425.81926,1603551599999.0,1.0,-0.0022172949002217677
414.92,416.66,413.36,414.0,26849.10545,1603555199999.0,1.0,-0.0025362318840579986
414.0,414.79,411.34,412.95,31546.01533,1603558799999.0,1.0,0.002009879891515016
412.96,414.27,412.7,413.79,15491.75755,1603562399999.0,1.0,-0.0018124697921701304
413.8,413.96,412.25,413.05,13626.93316,1603565999999.0,1.0,0.0005084992009297775
412.98,413.95,411.5,413.19,16678.18734,1603569599999.0,1.0,-0.00452565343659246
413.2,413.43,410.03,411.33,16884.29881,1603573199999.0,1.0,-0.0035980842632435304
411.33,412.29,408.72,409.85,17769.43226,1603576799999.0,0.0,0.0
409.85,411.65,408.0,411.25,14313.21917,1603580399999.0,1.0,0.0022616181513095664
411.21,412.4,410.89,412.14,7917.89746,1603583999999.0,0.0,0.0
412.14,413.42,410.21,412.98,16390.52208,1603587599999.0,0.0,0.0
412.98,413.65,412.01,413.13,11005.00106,1603591199999.0,1.0,-0.0019848473846004727
413.13,413.44,412.17,412.31,12156.61078,1603594799999.0,1.0,0.0067667531711576735
412.31,416.2,411.3,415.1,33782.12959,1603598399999.0,0.0,0.0
415.05,417.4,414.26,416.64,23822.59814,1603601999999.0,0.0,0.0
416.66,416.67,405.0,406.56,67795.32497,1603605599999.0,0.0,0.0
406.57,409.31,405.66,408.55,22681.57809,1603609199999.0,1.0,0.0024231447033483677
408.56,409.63,408.0,409.55,13924.7927,1603612799999.0,1.0,-0.0010499328531315025
409.55,409.6,407.23,409.12,15877.05101,1603616399999.0,0.0,0.0
409.13,409.14,407.2,407.93,17898.42495,1603619999999.0,1.0,-0.0004412521756183826
407.93,408.42,405.71,407.75,14300.24841,1603623599999.0,1.0,-0.0017413057340462952
407.74,407.76,405.0,407.03,24179.17928,1603627199999.0,0.0,0.0
407.08,408.62,406.15,407.63,17016.80615,1603630799999.0,1.0,0.0010794367302880078
407.62,409.19,406.92,408.06,11366.12107,1603634399999.0,1.0,0.000514642813380663
408.05,408.87,407.4,408.26,8790.05566,1603637999999.0,1.0,-0.005486834047764872
408.25,409.0,405.5,406.01,17222.58795,1603641599999.0,0.0,0.0
406.0,408.57,402.5,407.87,22919.95328,1603645199999.0,0.0,0.0
407.88,408.71,407.0,407.69,9704.20188,1603648799999.0,0.0,0.0
407.69,407.92,405.85,406.92,8056.33607,1603652399999.0,1.0,0.002924479614656798
406.91,408.15,406.84,408.1,6923.62795,1603655999999.0,0.0,0.0
408.1,408.73,407.22,407.28,7518.75956,1603659599999.0,1.0,0.0012031035160086651
407.28,408.03,406.71,407.77,6248.83263,1603663199999.0,0.0,0.0
407.77,408.03,404.41,406.0,15651.30285,1603666799999.0,0.0,0.0
406.0,407.22,405.52,405.86,10354.92999,1603670399999.0,0.0,0.0
405.85,408.45,402.88,407.96,30582.14102,1603673999999.0,0.0,0.0
408.0,409.0,406.84,408.22,21284.14697,1603677599999.0,0.0,0.0
408.28,410.0,407.55,408.87,22135.61596,1603681199999.0,0.0,0.0
408.86,411.11,408.38,408.9,29123.00397,1603684799999.0,0.0,0.0
408.91,409.16,406.88,408.03,20178.5433,1603688399999.0,0.0,0.0
408.03,409.03,406.23,407.02,25304.25467,1603691999999.0,1.0,-0.0017197749551629822
407.03,407.63,405.33,406.33,19620.21944,1603695599999.0,1.0,-0.003224218557715979
406.3,406.6,404.35,404.99,35793.89165,1603699199999.0,1.0,0.0026917568034769968
404.94,406.82,400.0,406.03,45926.79781,1603702799999.0,1.0,0.000541791853420604
406.06,406.84,405.46,406.28,16514.86384,1603706399999.0,1.0,0.0012060944691953852
406.27,407.5,404.6,406.76,17978.44884,1603709999999.0,1.0,-0.004081030583144774
406.76,407.67,404.14,405.1,25346.41164,1603713599999.0,1.0,-0.0027399965441485363
405.11,405.58,403.04,404.0,25424.07515,1603717199999.0,1.0,0.0031930693069307436
404.0,407.0,403.1,405.29,33960.04097,1603720799999.0,1.0,-0.005156928543229311
405.28,406.08,402.7,403.19,30220.87787,1603724399999.0,1.0,-0.023663061811687716
403.16,403.25,391.5,393.62,124809.73647,1603727999999.0,1.0,-0.016996087597174935
393.62,395.69,385.0,386.93,110281.65477,1603731599999.0,1.0,-0.002481133050759941
386.92,390.0,382.3,385.96,94682.75291,1603735199999.0,1.0,0.007591656950382192
385.95,389.89,384.46,388.88,43655.86977,1603738799999.0,1.0,0.006891586093396438
388.88,391.59,388.16,391.56,36378.30852,1603742399999.0,1.0,0.0018390804597701847
391.5,393.5,390.66,392.22,30134.45522,1603745999999.0,1.0,-0.0012237717665655819
392.23,394.0,390.91,391.75,13797.95869,1603749599999.0,1.0,0.0007657945118060278
391.75,392.33,389.9,392.05,20634.9051,1603753199999.0,1.0,0.0011732898025811854
392.06,394.43,391.66,392.52,21373.69811,1603756799999.0,1.0,0.00560480994599013
392.52,395.92,392.27,394.72,26642.62263,1603760399999.0,1.0,-0.002052191537876874
394.7,395.0,392.99,393.89,17889.78473,1603763999999.0,1.0,-0.003985682008580767
393.91,394.73,391.92,392.34,18007.80455,1603767599999.0,1.0,0.0014273334352857274
392.34,393.32,391.59,392.9,12974.9654,1603771199999.0,1.0,0.0036140591993076253
392.91,394.63,392.91,394.33,12416.04523,1603774799999.0,1.0,-0.0035504159058632008
394.32,394.86,392.46,392.92,16656.26238,1603778399999.0,1.0,0.0038433149227518923
392.89,394.4,392.08,394.4,14085.1827,1603781999999.0,1.0,-0.0005070993914807014
394.4,395.07,393.02,394.2,18021.85682,1603785599999.0,1.0,-0.0013443928671081082
394.23,394.8,393.02,393.7,18069.24982,1603789199999.0,1.0,-0.004318008636017243
393.7,393.96,389.9,392.0,32984.56259,1603792799999.0,1.0,0.010662993290987492
392.01,396.91,391.1,396.19,42383.98052,1603796399999.0,1.0,0.015371024734982412
396.2,403.5,395.5,402.29,76820.30027,1603799999999.0,1.0,0.003529791941136889
402.29,404.93,400.54,403.71,47199.54157,1603803599999.0,1.0,-0.0013128235614673224
403.71,406.79,401.76,403.18,50214.97024,1603807199999.0,1.0,-0.0003472308340980341
403.19,404.14,401.0,403.05,31547.83765,1603810799999.0,1.0,0.0071449836260791795
403.08,406.43,402.89,405.96,48153.09466,1603814399999.0,1.0,0.00881816838267891
405.98,409.64,405.59,409.56,55031.11428,1603817999999.0,1.0,-0.004126379529250898
409.56,410.25,407.25,407.87,43432.90583,1603821599999.0,1.0,-0.004977076029127
407.87,409.35,401.54,405.84,60081.72902,1603825199999.0,1.0,0.0007638290008623931
405.85,407.35,404.86,406.16,17703.44958,1603828799999.0,1.0,-0.007903094763276549
406.17,406.69,401.27,402.96,37052.45485,1603832399999.0,1.0,-0.00042185716412729144
402.98,405.21,402.3,402.81,12682.92181,1603835999999.0,1.0,0.005560796385482372
402.82,405.5,401.45,405.06,21036.65975,1603839599999.0,1.0,-0.004073068378178312
405.1,405.76,402.2,403.45,23172.44426,1603843199999.0,1.0,0.0048090032473166195
403.41,406.16,402.42,405.35,21779.55712,1603846799999.0,1.0,0.005994819291969778
405.35,409.2,404.5,407.78,25469.04799,1603850399999.0,1.0,0.0006621217323067308
407.78,408.18,406.37,408.05,32688.41302,1603853999999.0,1.0,-0.005562907415576096
408.06,408.14,404.45,405.79,35095.50503,1603857599999.0,1.0,-0.0005421389847216049
405.8,407.21,404.53,405.58,20881.48459,1603861199999.0,1.0,-0.002046552914488569
405.56,406.35,403.08,404.73,22162.55723,1603864799999.0,1.0,-0.005509709937243708
404.74,405.68,402.21,402.51,13988.90217,1603868399999.0,1.0,-0.013887508695220051
402.52,403.14,394.23,396.93,73278.85399,1603871999999.0,1.0,0.00025194628505194094
396.91,397.6,391.25,397.01,46922.62392,1603875599999.0,1.0,-0.00808503135783185
397.03,398.6,393.11,393.82,27109.89722,1603879199999.0,1.0,0.002158346452694182
393.82,397.09,391.53,394.67,33647.67387,1603882799999.0,1.0,-0.019788684217194118
394.67,394.71,386.5,386.86,83120.54756,1603886399999.0,1.0,0.008712287686461064
386.81,390.6,385.66,390.18,58167.81089,1603889999999.0,1.0,-0.008816669656816253
390.17,392.0,386.69,386.73,39630.95567,1603893599999.0,1.0,-0.0018100015514298717
386.74,388.58,380.52,386.04,80732.12932,1603897199999.0,1.0,0.0038856077090456947
386.04,388.06,385.0,387.54,38419.6216,1603900799999.0,1.0,-0.006760592454972401
387.54,387.74,382.31,384.92,51411.19947,1603904399999.0,1.0,-0.0005455395646074182
384.94,385.45,380.64,384.73,40434.30587,1603907999999.0,1.0,0.0038464537256023552
384.77,386.73,384.51,386.25,21950.21485,1603911599999.0,0.0,0.0
386.23,386.83,383.89,384.69,20983.38118,1603915199999.0,1.0,0.0015856099399548067
384.71,386.24,383.98,385.32,14418.24546,1603918799999.0,1.0,0.0024395307796117455
385.32,386.37,382.52,386.26,12329.57851,1603922399999.0,1.0,0.003339632899267405
386.27,388.36,385.76,387.56,18595.81177,1603925999999.0,0.0,0.0
387.56,390.15,387.02,388.23,22057.15052,1603929599999.0,1.0,-0.00012879295244967124
388.22,390.2,387.71,388.17,19872.71065,1603933199999.0,1.0,0.008166314596321335
388.18,391.78,386.36,391.35,23211.30623,1603936799999.0,1.0,-0.001762992488118958
391.38,391.81,389.54,390.69,14206.16853,1603940399999.0,1.0,0.0032761709751728428
390.7,392.0,388.91,391.98,18913.77702,1603943999999.0,1.0,-0.0038777488647380952
391.98,392.27,390.39,390.46,15883.19849,1603947599999.0,0.0,0.0
390.47,391.97,390.18,391.89,13823.17423,1603951199999.0,1.0,-0.0022454707833630913
391.9,392.25,390.58,391.02,15223.66983,1603954799999.0,0.0,0.0
391.02,392.2,386.86,387.21,23326.83483,1603958399999.0,1.0,-0.0018595041322313286
387.2,388.79,385.0,386.48,22408.97791,1603961999999.0,0.0,0.0
386.44,388.27,386.0,388.08,21215.38778,1603965599999.0,1.0,-0.005127940835416314
388.07,388.19,384.32,386.08,26310.79345,1603969199999.0,1.0,-0.007744910117598324
386.06,387.31,383.03,383.07,19803.4265,1603972799999.0,0.0,0.0
383.08,384.54,380.52,384.17,41557.52832,1603976399999.0,0.0,0.0
384.17,387.43,383.69,387.08,30049.84339,1603979999999.0,0.0,0.0
387.08,392.68,386.41,390.28,58353.30758,1603983599999.0,0.0,0.0
390.3,391.99,389.3,390.68,25969.34262,1603987199999.0,1.0,0.002047554452151241
390.71,393.72,386.39,391.51,41344.87363,1603990799999.0,0.0,0.0
