open,high,low,close,volume,timestamp,pred_boolean,profit_boolean
24.5579,24.5579,24.0011,24.1983,208579.8,1599785999999.0,1.538207712245554e-12,0.0
24.1986,24.221,23.5977,23.6999,173423.77,1599789599999.0,4.343730097833287e-10,0.0
23.7,23.8062,23.2595,23.4158,172601.78,1599793199999.0,1.50155599759616e-11,0.0
23.4158,23.6373,23.11,23.1324,146466.04,1599796799999.0,1.0,0.007653943228572389
23.1384,23.5036,23.0677,23.3155,143842.73,1599800399999.0,1.2716195018392698e-38,0.0
23.3156,23.7105,23.2337,23.6225,97860.66,1599803999999.0,2.020639476540964e-05,0.0
23.6175,23.8891,23.4322,23.758,86810.82,1599807599999.0,1.0,0.0007828447568340784
23.7595,23.9468,23.6247,23.7781,84861.96,1599811199999.0,5.2245044228349524e-12,0.0
23.7889,23.98,23.6799,23.7294,96670.18,1599814799999.0,1.0,-0.001453911020645442
23.7291,23.95,23.5734,23.6946,115392.95,1599818399999.0,1.0,-0.003130801687763612
