open,high,low,close,volume,timestamp,pred_boolean,profit_boolean
567.15,570.42,565.0,569.67,25073.16099,1607565599999.0,0.0,0.0
569.67,572.24,565.52,568.26,16878.83219,1607569199999.0,1.0,-0.0010558547143913399
568.26,571.89,566.5,567.66,14459.33322,1607572799999.0,1.0,-0.0007575090284505417
567.65,571.54,566.4,567.22,16123.19722,1607576399999.0,0.0,0.0
567.19,568.01,561.61,563.78,32246.41075,1607579999999.0,1.0,-0.006491663710535595
563.8,565.81,559.74,560.14,25013.55828,1607583599999.0,1.0,0.005998393287512298
560.15,564.75,559.84,563.51,14982.81257,1607587199999.0,1.0,0.00422345258375922
563.52,567.96,562.72,565.9,23512.83828,1607590799999.0,1.0,-0.013730341049655384
565.9,568.79,557.79,558.13,37015.1297,1607594399999.0,1.0,-0.007273899957001479
558.16,560.78,553.2,554.1,35456.01745,1607597999999.0,1.0,0.0017870036101083197
554.0,559.45,552.33,554.99,27084.46033,1607601599999.0,1.0,0.003225283338438465
554.99,558.86,553.68,556.78,19304.54429,1607605199999.0,1.0,0.007777558241876542
556.73,561.33,551.11,561.06,40262.13176,1607608799999.0,1.0,-0.01523683929144234
561.14,562.92,551.1,552.59,42561.95032,1607612399999.0,1.0,0.009065740187829092
552.63,557.92,548.11,557.64,44511.98421,1607615999999.0,1.0,0.003478946990890278
557.64,561.33,555.08,559.58,39420.69062,1607619599999.0,0.0,0.0
559.58,560.55,556.26,558.95,19892.17738,1607623199999.0,1.0,0.002003757044458367
558.95,562.9,558.24,560.07,18710.80419,1607626799999.0,0.0,0.0
560.05,565.57,558.36,565.47,20375.41085,1607630399999.0,1.0,-0.001361699117548202
565.47,568.5,564.12,564.7,23927.30551,1607633999999.0,0.0,0.0
564.72,566.12,562.06,563.68,15703.74743,1607637599999.0,0.0,0.0
563.69,565.0,560.84,563.11,9671.38113,1607641199999.0,1.0,-0.007316510095718429
563.11,564.48,557.5,558.99,17231.83899,1607644799999.0,0.0,0.0
558.99,560.8,545.86,548.64,49450.47617,1607648399999.0,1.0,-0.00455713738857799
548.59,552.07,541.31,546.09,62862.38108,1607651999999.0,1.0,-0.006702314679168037
546.08,547.94,542.0,542.42,52966.99588,1607655599999.0,0.0,0.0
542.44,548.48,540.13,547.27,38494.9591,1607659199999.0,0.0,0.0
547.32,548.96,543.75,545.36,25085.84669,1607662799999.0,0.0,0.0
545.37,548.0,542.13,544.5,26872.7221,1607666399999.0,0.0,0.0
544.49,546.42,541.07,544.1,23820.87911,1607669999999.0,0.0,0.0
544.19,545.09,535.5,541.68,47866.09659,1607673599999.0,1.0,0.006037331757842036
541.63,548.0,541.51,544.9,39391.93808,1607677199999.0,0.0,0.0
544.9,544.99,538.07,541.5,24998.29484,1607680799999.0,0.0,0.0
541.5,546.27,536.02,540.08,37111.62085,1607684399999.0,1.0,-0.002240408828321797
540.08,542.0,536.0,538.87,30714.05189,1607687999999.0,0.0,0.0
538.93,546.15,537.02,543.91,33744.72453,1607691599999.0,0.0,0.0
543.91,550.5,543.38,549.58,35229.12228,1607695199999.0,0.0,0.0
549.58,553.72,548.25,552.79,39061.66081,1607698799999.0,0.0,0.0
552.89,554.76,551.24,554.2,28218.44199,1607702399999.0,1.0,-0.009906349807827656
554.19,554.39,547.06,548.7,25522.61555,1607705999999.0,0.0,0.0
548.7,549.48,543.0,544.97,28785.4547,1607709599999.0,0.0,0.0
544.97,549.07,543.5,548.23,21782.92757,1607713199999.0,0.0,0.0
548.24,551.0,545.74,546.25,23778.81486,1607716799999.0,1.0,0.001391329818394828
546.24,548.86,544.67,547.0,15215.85399,1607720399999.0,0.0,0.0
547.05,549.73,544.38,549.55,16800.65063,1607723999999.0,1.0,0.0016012810248200546
549.56,552.0,547.51,550.44,19403.11868,1607727599999.0,1.0,-0.01099040837087645
550.48,550.83,543.6,544.43,21742.1352,1607731199999.0,1.0,0.01963413290232513
544.46,555.97,543.1,555.15,49961.60605,1607734799999.0,1.0,-0.004124862654682284
555.17,557.14,552.59,552.88,21481.20446,1607738399999.0,1.0,0.006800998444452467
552.86,557.63,552.75,556.62,15621.72787,1607741999999.0,1.0,-0.0035571205288971457
556.63,556.69,554.13,554.65,16257.10988,1607745599999.0,0.0,0.0
554.58,560.92,553.7,559.74,30766.50082,1607749199999.0,0.0,0.0
559.78,560.67,556.54,556.76,22185.7041,1607752799999.0,1.0,-0.0006286032435925737
556.79,559.0,555.12,556.44,16281.89962,1607756399999.0,0.0,0.0
556.45,559.99,556.41,558.98,14453.00732,1607759999999.0,1.0,-0.0027909473119242492
558.95,560.65,556.01,557.39,18841.94663,1607763599999.0,0.0,0.0
557.34,559.41,555.33,556.49,16172.13732,1607767199999.0,0.0,0.0
556.49,557.79,553.92,554.97,16055.71707,1607770799999.0,0.0,0.0
555.02,559.64,554.44,559.49,18410.41136,1607774399999.0,0.0,0.0
559.51,560.39,556.48,557.25,16885.34372,1607777999999.0,1.0,-0.003104475469260342
557.26,557.97,555.3,555.53,17834.75741,1607781599999.0,1.0,-0.0028261808755759223
555.52,557.02,551.28,553.95,34195.9429,1607785199999.0,1.0,0.0011373688866422261
553.91,555.54,551.5,554.54,27614.66876,1607788799999.0,0.0,0.0
554.53,555.86,552.62,553.24,17833.10584,1607792399999.0,1.0,0.005295404023061329
553.31,557.0,551.68,556.24,18142.22,1607795999999.0,1.0,0.01425541094412897
556.28,565.54,556.23,564.21,48126.42885,1607799599999.0,0.0,0.0
564.2,569.5,564.0,568.8,40037.32288,1607803199999.0,1.0,-0.0015470895378069927
568.81,572.83,566.31,567.93,32873.87221,1607806799999.0,0.0,0.0
567.94,571.7,567.62,570.13,23565.14562,1607810399999.0,1.0,0.0013855273773195787
570.18,574.0,569.44,570.97,18015.62855,1607813999999.0,0.0,0.0
570.97,571.8,566.76,568.04,22300.54387,1607817599999.0,0.0,0.0
568.09,569.68,563.69,565.7,24092.59994,1607821199999.0,0.0,0.0
565.69,567.28,564.39,566.03,10028.2417,1607824799999.0,1.0,0.0007243432326909914
566.03,566.64,563.22,566.44,11703.64934,1607828399999.0,1.0,-0.00183596370440998
566.46,567.81,564.91,565.42,12392.23977,1607831999999.0,1.0,0.004580422672207831
565.45,569.43,564.16,568.04,18510.8462,1607835599999.0,0.0,0.0
568.05,571.88,567.8,569.08,19522.36127,1607839199999.0,0.0,0.0
569.08,572.74,569.01,572.13,23113.86597,1607842799999.0,1.0,0.012095787449746476
572.1,580.0,572.1,579.02,53750.77718,1607846399999.0,0.0,0.0
579.07,584.0,577.24,581.31,57231.12804,1607849999999.0,0.0,0.0
581.31,585.0,577.99,583.46,32948.14061,1607853599999.0,0.0,0.0
583.47,586.74,581.61,583.77,38058.53795,1607857199999.0,1.0,0.003083458955735156
583.76,586.88,581.31,585.56,29272.2704,1607860799999.0,0.0,0.0
585.59,588.85,583.3,586.96,40687.82147,1607864399999.0,0.0,0.0
586.98,589.71,584.02,585.78,28761.83008,1607867999999.0,0.0,0.0
585.78,586.58,582.82,585.32,21631.55596,1607871599999.0,0.0,0.0
585.33,586.73,579.66,585.22,36104.02508,1607875199999.0,0.0,0.0
585.22,595.0,585.22,593.34,61671.4509,1607878799999.0,0.0,0.0
593.33,594.86,591.13,594.8,24608.99736,1607882399999.0,0.0,0.0
594.63,594.7,591.0,592.46,17426.43633,1607885999999.0,0.0,0.0
592.4,594.0,591.36,591.87,14881.23218,1607889599999.0,0.0,0.0
591.87,592.07,585.38,588.82,27326.59568,1607893199999.0,1.0,0.0045515531325895685
588.81,592.14,588.66,591.49,12262.03999,1607896799999.0,1.0,-0.004868977176669477
591.5,592.24,583.81,588.62,21558.77781,1607900399999.0,1.0,0.003499592280511109
588.64,593.36,588.59,590.7,20249.04037,1607903999999.0,0.0,0.0
590.81,591.01,581.75,584.48,32127.62175,1607907599999.0,0.0,0.0
584.47,586.49,582.37,585.28,21299.63384,1607911199999.0,1.0,0.009123682277161803
585.29,590.78,583.18,590.63,20056.1227,1607914799999.0,0.0,0.0
590.77,591.48,588.7,590.48,22881.14956,1607918399999.0,0.0,0.0
590.48,591.17,583.66,585.34,27873.5633,1607921999999.0,1.0,0.00011958861516372764
585.34,585.51,582.9,585.41,16152.20747,1607925599999.0,1.0,0.00481713670760672
585.41,588.29,585.0,588.23,16156.25454,1607929199999.0,0.0,0.0
588.23,588.62,584.79,585.99,15219.63806,1607932799999.0,0.0,0.0
585.99,589.31,585.63,588.12,16931.08738,1607936399999.0,0.0,0.0
588.12,588.8,585.15,587.32,13915.61991,1607939999999.0,0.0,0.0
587.33,588.09,576.5,578.39,37166.2837,1607943599999.0,1.0,0.0022822365918601095
578.38,580.49,575.6,579.7,26366.7388,1607947199999.0,0.0,0.0
579.69,582.24,577.0,579.05,25487.58136,1607950799999.0,1.0,0.005232708747085893
579.05,583.0,576.12,582.08,23721.5293,1607954399999.0,0.0,0.0
582.08,582.7,578.4,582.47,15762.82021,1607957999999.0,0.0,0.0
582.47,588.37,582.47,583.82,33347.39911,1607961599999.0,1.0,-0.003973827549587287
583.82,585.05,580.71,581.5,21722.03337,1607965199999.0,0.0,0.0
581.5,582.76,580.0,581.01,12456.09288,1607968799999.0,0.0,0.0
581.01,586.5,581.01,586.49,19235.17461,1607972399999.0,0.0,0.0
